trip_id,start_time,end_time,headway_secs
29c-up,00:00:00,23:59:59,360
29c-down,00:00:00,23:59:59,360
15b-up,00:00:00,23:59:59,420
15b-down,00:00:00,23:59:59,420
spp66-up,00:00:00,23:59:59,420
spp66-down,00:00:00,23:59:59,420
s21g-up,00:00:00,23:59:59,480
s21g-down,00:00:00,23:59:59,480
21-up,00:00:00,23:59:59,480
21-down,00:00:00,23:59:59,480
m21-up,00:00:00,23:59:59,480
m21-down,00:00:00,23:59:59,480
m70a-up,00:00:00,23:59:59,480
m70a-down,00:00:00,23:59:59,480
m7-up,00:00:00,23:59:59,540
m7-down,00:00:00,23:59:59,540
m70c-up,00:00:00,23:59:59,540
m70c-down,00:00:00,23:59:59,540
s21h-up,00:00:00,23:59:59,540
s21h-down,00:00:00,23:59:59,540
t51-up,00:00:00,23:59:59,540
t51-down,00:00:00,23:59:59,540
27b-up,00:00:00,23:59:59,540
27b-down,00:00:00,23:59:59,540
23c-up,00:00:00,23:59:59,540
23c-down,00:00:00,23:59:59,540
m20-up,00:00:00,23:59:59,540
m20-down,00:00:00,23:59:59,540
m248-up,00:00:00,23:59:59,540
m248-down,00:00:00,23:59:59,540
m500-up,00:00:00,23:59:59,540
m500-down,00:00:00,23:59:59,540
44c-up,00:00:00,23:59:59,540
44c-down,00:00:00,23:59:59,540
m2a-up,00:00:00,23:59:59,540
m2a-down,00:00:00,23:59:59,540
m88-up,00:00:00,23:59:59,600
m88-down,00:00:00,23:59:59,600
s25g-up,00:00:00,23:59:59,600
s25g-down,00:00:00,23:59:59,600
5e-up,00:00:00,23:59:59,600
5e-down,00:00:00,23:59:59,600
32-up,00:00:00,23:59:59,600
32-down,00:00:00,23:59:59,600
12g-up,00:00:00,23:59:59,600
12g-down,00:00:00,23:59:59,600
17d-up,00:00:00,23:59:59,600
17d-down,00:00:00,23:59:59,600
18k-up,00:00:00,23:59:59,600
18k-down,00:00:00,23:59:59,600
29a-up,00:00:00,23:59:59,600
29a-down,00:00:00,23:59:59,600
42-up,00:00:00,23:59:59,600
42-down,00:00:00,23:59:59,600
m14-up,00:00:00,23:59:59,600
m14-down,00:00:00,23:59:59,600
m48-up,00:00:00,23:59:59,600
m48-down,00:00:00,23:59:59,600
m54-up,00:00:00,23:59:59,600
m54-down,00:00:00,23:59:59,600
sd70-up,00:00:00,23:59:59,600
sd70-down,00:00:00,23:59:59,600
e18-up,00:00:00,23:59:59,600
e18-down,00:00:00,23:59:59,600
15g-up,00:00:00,23:59:59,660
15g-down,00:00:00,23:59:59,660
47a-up,00:00:00,23:59:59,660
47a-down,00:00:00,23:59:59,660
m55-up,00:00:00,23:59:59,660
m55-down,00:00:00,23:59:59,660
32a-up,00:00:00,23:59:59,660
32a-down,00:00:00,23:59:59,660
m33-up,00:00:00,23:59:59,660
m33-down,00:00:00,23:59:59,660
m48c-up,00:00:00,23:59:59,660
m48c-down,00:00:00,23:59:59,660
s5a-up,00:00:00,23:59:59,660
s5a-down,00:00:00,23:59:59,660
spp19e-up,00:00:00,23:59:59,660
spp19e-down,00:00:00,23:59:59,660
33-up,00:00:00,23:59:59,660
33-down,00:00:00,23:59:59,660
s15b-up,00:00:00,23:59:59,720
s15b-down,00:00:00,23:59:59,720
sv51-up,00:00:00,23:59:59,720
sv51-down,00:00:00,23:59:59,720
56c-up,00:00:00,23:59:59,720
56c-down,00:00:00,23:59:59,720
57-up,00:00:00,23:59:59,720
57-down,00:00:00,23:59:59,720
7b-up,00:00:00,23:59:59,720
7b-down,00:00:00,23:59:59,720
6d-up,00:00:00,23:59:59,720
6d-down,00:00:00,23:59:59,720
37d-up,00:00:00,23:59:59,720
37d-down,00:00:00,23:59:59,720
7f-up,00:00:00,23:59:59,720
7f-down,00:00:00,23:59:59,720
m1-up,00:00:00,23:59:59,720
m1-down,00:00:00,23:59:59,720
m12b-up,00:00:00,23:59:59,720
m12b-down,00:00:00,23:59:59,720
m61c-up,00:00:00,23:59:59,720
m61c-down,00:00:00,23:59:59,720
m8b-up,00:00:00,23:59:59,720
m8b-down,00:00:00,23:59:59,720
s29c-up,00:00:00,23:59:59,720
s29c-down,00:00:00,23:59:59,720
st51-up,00:00:00,23:59:59,720
st51-down,00:00:00,23:59:59,720
5a-up,00:00:00,23:59:59,720
5a-down,00:00:00,23:59:59,720
8b-up,00:00:00,23:59:59,720
8b-down,00:00:00,23:59:59,720
11g-up,00:00:00,23:59:59,780
11g-down,00:00:00,23:59:59,780
21l-up,00:00:00,23:59:59,780
21l-down,00:00:00,23:59:59,780
m49-up,00:00:00,23:59:59,780
m49-down,00:00:00,23:59:59,780
m142-up,00:00:00,23:59:59,780
m142-down,00:00:00,23:59:59,780
m59-up,00:00:00,23:59:59,780
m59-down,00:00:00,23:59:59,780
s19b-up,00:00:00,23:59:59,780
s19b-down,00:00:00,23:59:59,780
s27b-up,00:00:00,23:59:59,780
s27b-down,00:00:00,23:59:59,780
s27d-up,00:00:00,23:59:59,840
s27d-down,00:00:00,23:59:59,840
s62-up,00:00:00,23:59:59,840
