m57g,Red Hills,100
m57g,Padiyanallur,200
m57g,Semilivaram,300
m57g,Jn.Of.Orakadu Rd & S/Vara,400
m57g,Sozhipalayam,500
m57g,Orakkadu,600
m57g,Budur,700
m57g,Arumandai Rd.Jn.,800
m57g,Thirunillai Rd.Jn.,900
m57g,Periamullaivoyal,1000
m57g,Vazhuthunaimedu,1100
m57d,Broadway,100
m57d,Parrys,200
m57d,Clive Battery,300
m57d,V. Nagar,400
m57d,Vyasarpadi,500
m57d,Sarma Nagar,600
m57d,Moolakadai,700
m57d,Madhavaram,800
m57d,Cycle Shop,900
m57d,Kavangarai,1000
m57d,Aayurveda Ashramam,1100
m57d,Red Hills,1200
m57d,Pammadu Kulam Rd.Jn.,1300
m57d,Jn.Of Race Course Rd,1400
m57d,Alamadhi Old,1500
m57d,Alamadhi Cattle Farm,1600
m57d,Alamadhi,1700
m57d,Ambedkar Nagar,1800
m57d,Poochiathibedu,1900
29k,C.M.B.T.,100
29k,Arumbakkam,200
29k,Naduvankarai,300
29k,Aminijikarai,400
29k,Taylors Road,500
29k,Sterling Rd/Meteorology D,600
29k,U.S.I.S.,700
29k,Y.M.I.A,800
29k,Mandaveli,900
m57a,V. Nagar,100
m57a,Vyasarpadi,200
m57a,Sarma Nagar,300
m57a,Moolakadai,400
m57a,Madhavaram,500
m57a,Cycle Shop,600
m57a,Kavangarai,700
m57a,Aayurveda Ashramam,800
m57a,Red Hills,900
m57a,Padiyanallur,1000
m57a,Siruniam Rd.Jn.,1100
m57a,Angadu,1200
47d,Thiruvanmiyur,100
47d,Adayar Depot,200
47d,Adayar B.S.,300
47d,Eng.College,400
47d,Concorde,500
47d,Saidapet,600
47d,Vivek & Co (Krishnan Koil,800
47d,Vidyodaya,900
47d,Sterling Road,1000
47d,Nungambakkam R.S,1100
47d,Hotel Arun,1200
47d,Anna Nagar Circle,1300
47d,Thirumangalam,1400
47d,Lucas Tvs,1500
47d,Ambathur Estate,1600
47d,Dunlop,1700
47d,Ambathur OT,1800
47d,Thirumullaivoayl,1900
47d,Polytechnic,2000
47d,Avadi,2100
29e,Perambur B.S,100
29e,Jamalaya,200
29e,Dasamahan,300
29e,Doveton,400
29e,Kelleys,500
29e,Kilpauk Garden,600
29e,Aminijikarai,700
29e,Naduvankarai,800
29e,Arumbakkam,900
29e,Nerkundram,1000
29e,Maduravoyal,1100
29e,Vaanagaram,1200
29e,Velappanchavadi,1300
29e,Thiruverkadu,1400
21h,Broadway,100
29a,Perambur B.S,100
29a,Jamalaya,200
29a,Dasamahan,300
29a,Doveton,400
29a,Dharmaprakash/Petrol Bunk,500
29a,Egmore,600
29a,Anna Poorna Hotel/Dams Rd,700
29a,Triplicane,800
29a,Anna Square,900
21h,Secretariat,200
21l,Velachery,1200
21h,Chepauk,300
21h,Q.M.C,400
spp66,Vandaloor Zoo,100
spp66,Vandaloor,200
spp66,Perungulathur,300
spp66,Irumbuliyur,400
spp66,Tambaram,500
spp66,T.B.Sanatorium,600
spp66,Chrompet,700
spp66,Pallavaram,800
spp66,Pammal,900
spp66,Anakaputhur,1000
spp66,Andakuppam,1100
spp66,Kundrathur B.S,1200
spp66,Kollaicheri,1300
spp66,Sikkaravaram,1400
spp66,Mangadu,1500
spp66,Kumunanchavadi,1600
spp66,Poonamallee,1700
21h,Fore Shore Estate,500
21g,Mandaveli,600
37d,Choolai P.O,300
37d,Lady Mctm School/Millers,400
37d,K.M.C,500
37d,Sterling Rd./Metrolog. De,600
37d,Veterinary Hospital,800
37d,Trustpuram,900
37d,Pudur High School,1000
37d,Jn.Of P.T.R Rd/Kamaraj Rd,1100
37d,Muthumariamman Koil,1200
37d,Kalaignar Nagar,1300
21h,A.M.S.Hospital,600
21l,Broadway,100
21l,Secretariat,200
21l,Chepauk,300
21l,Q.M.C,400
21l,A.M.S.Hospital,600
21l,Adayar B.S.,700
21l,Eng.College,800
21l,Concorde,900
21l,Jn.Of Race Course Rd,1000
21l,Gurunanak College,1100
21g,Broadway,100
21g,Secretariat,200
21g,Chepauk,300
21g,Q.M.C,400
21g,Adyar Gate,700
21g,Kotturpuram,800
21g,Eng.College,900
29c,Perambur R.S,100
29c,Jamalaya,200
29c,Shivashanmugapuram,300
29c,Lady Mctm School/Millers,400
29c,K.M.C,500
29c,Sterling Rd/Meteorology D,600
29c,U.S.I.S.,700
29c,Devanathan St / Mandaveli,900
29c,A.M.S.Hospital,1000
29c,Adayar B.S.,1100
29c,Adayar Depot,1200
29c,Besant Nagar,1300
37d,Regal,200
21h,Adayar O.T.,700
21h,Indira Nagar Water Tank,800
21h,Lattice Bridge Rd. Jn.,900
21h,Kandanchavadi,1000
21h,Mootakaran Chavadi,1200
21h,Karapakkam,1300
21h,Sozhinganallur P.U.Office,1400
21h,Kumaran Nagar,1500
21h,Semmanchery,1600
21h,Navalur,1700
21h,Church,1800
21h,Palavasthic Chemicals,1900
21h,Hindustal Egg. College,2000
53,Taylors Road,400
sg18,Saidapet,200
sg18,Concorde,300
sg18,Guindy R.S,400
sg18,St Thomas Mount Po,500
sg18,Menamabakkam Old Airport,600
sg18,Thirusoolam National Airp,700
sg18,Pallavaram,800
sg18,Chrompet,900
sg18,T.B.Sanatorium,1000
sg18,Tambaram,1100
sg18,Irumbuliyur,1200
sg18,Perungulathur,1300
sg18,Vandaloor,1400
sg18,Vandaloor Zoo,1500
sg18,Oorapakkam School,1600
sg18,Palakka Company,1700
sg18,Guduvanchery,1800
500,Saidapet,200
500,Concorde,300
500,Guindy R.S,400
500,St Thomas Mount Po,500
500,Menamabakkam Old Airport,600
500,Thirusoolam National Airp,700
500,Pallavaram,800
500,Chrompet,900
500,T.B.Sanatorium,1000
500,Tambaram,1100
500,Irumbuliyur,1200
500,Perungulathur,1300
500,Vandaloor,1400
500,Vandaloor Zoo,1500
500,Oorapakkam School,1600
500,Palakka Company,1700
500,Guduvanchery,1800
500,Thailapuram,1900
500,Maraimalai Nagar,2000
500,Ford,2100
500,Malrosapuram,2200
500,S.P.Koil,2300
500,Mahendra City(Chetty Punn,2400
500,Pulipakkam,2500
500,Chenglepet O.T.,2600
500,Chenglepet N.T.,2700
m57c,V. Nagar,100
m57c,Vyasarpadi,200
m57c,Sarma Nagar,300
m57c,Moolakadai,400
m57c,Madhavaram,500
m57c,Cycle Shop,600
m57c,Kavangarai,700
m57c,Aayurveda Ashramam,800
m57c,Red Hills,900
m57c,Azhinjivakkam Rd.Jn.,1000
m57c,Kummanur,1100
m57c,Budur,1200
m57c,Arumandai Rd.Jn.,1300
m57c,Pudukuppam,1400
m57c,Gnayaru,1500
s170t,Kaviarasu Kannadasan Naga,100
s170t,Sidco,200
s170t,Sarma Nagar,300
s170t,Moolakadai,400
s170t,Madhavaram,500
s170t,Madhavaram Junction,600
s170t,Malligai Nagar Ave,700
s170t,Water Pipe Thanthankuppam,800
s170t,Weels India Rd.Jn.,900
s170t,Thirumangalam,1000
s170t,Koyambedu School,1100
s170t,M.M.D.A.Colony Rd.Jn.,1200
s170t,Jn Of Iii And 1St Ave,1300
s170t,Jaffarkhan Pet,1400
s170t,Cipet,1500
s170t,St Thomas Mount Po,1600
s170t,Menamabakkam Old Airport,1700
s170t,Thirusoolam National Airp,1800
s170t,Pallavaram,1900
s170t,Chrompet,2000
s170t,T.B.Sanatorium,2100
s170t,Tambaram,2200
s170t,Perungulathur,2300
s170t,Vandaloor,2400
s170t,Vandaloor Zoo,2500
a45b,Anna Square,100
a45b,Triplicane,200
a45b,V.House,300
a45b,Y.M.I.A,400
a45b,Luz,500
a45b,F.C.I Old,600
a45b,S.H.B,700
a45b,Saidapet,800
a45b,Concorde,900
a45b,Guindy Tvk Estate,1000
m154b,Nanganallur,100
m154b,Chidambaram Stores,200
m154b,Vanuvambedu,300
m154b,St Thomas Mount R.S,400
m154b,Burial Ground,500
m154b,St Thomas Mount Po,600
m154b,Butt Road,700
m154b,Ramapuram,800
m154b,Mogalivakkam,900
m154b,Porur,1000
m154b,Ayyappan Thangal,1100
m154b,Kumunanchavadi,1200
m154b,Poonamallee,1300
s591b,Vadapalani B.S,100
s591b,Virugambakkam,200
s591b,Valasaravakkam,300
s591b,Porur,400
s591b,Ayyappan Thangal,500
s591b,Kumunanchavadi,600
s591b,Poonamallee,700
s591b,Nazarathpet,800
s591b,Chembarambakkam,900
s591b,Pappanchatram,1000
s591b,Chettipedu,1100
s591b,Thandalam Koot Road,1200
s591b,Tsr Rajalakshmi Nagar,1300
s591b,Valarpuram,1400
s591b,Mannur Village,1500
s591b,Sowbakkiya Nagar,1600
s591b,Kattu Koot Road,1700
s591b,Vayalur Cross Road,1800
s591b,Mudhukur Cross Road,1900
s591b,Poovalli Kuppam,2000
s591b,Meppedu,2100
s591b,Meppedu Koot Rd,2200
s591b,Kondanchery Christhuva Sa,2300
s591b,Koovam,2400
s591b,Perambakkam,2500
s591a,C.M.B.T.,100
s591a,Koyambedu School,200
s591a,Nerkundram,300
s591a,Maduravoyal,400
s591a,Vaanagaram,500
s591a,Velappanchavadi,600
